,Unnamed: 0,Unnamed: 0.1,Subject,Target,target_filename,Foil,foil_filename,Distractor,distractor_filename,informative_target,informative_foil,notes,presentation_index,Ambig_trial_ID,List,condition,Control_trial_ID,Trial_ID
59,59,60,P08,yellow_chair,chair2,blue_chair,chair1,kangaroo,kangaroo,0,1,,61,D7,D,ambiguous,,D7
60,60,61,P08,white_dog,dog2,black_dog,dog1,rainbow,rainbow,0,1,doggie > dog,62,D8,D,ambiguous,,D8
61,61,62,P08,yellow_bike,bike2,red_bike,bike1,candle,candle,0,0,,63,D1,D,ambiguous,,D1
62,62,63,P08,red_bird,bird2,blue_bird,bird1,playground,playground,0,0,,64,D2,D,ambiguous,,D2
63,63,64,P09,blue_cup,cup1,pink_cup,cup2,dress,dress,0,0,,65,A4,A,ambiguous,,A4
64,64,65,P09,blue_fish,fish1,green_fish,fish2,playdoh,playdoh,0,0,,66,A1,A,ambiguous,,A1
65,65,66,P09,blue_toothbrush,toothbrush1,orange_toothbrush,toothbrush2,door,door,0,0,,67,A7,A,ambiguous,,A7
66,66,67,P09,gold_spoon,spoon1,silver_spoon,spoon2,comb,comb,0,0,,68,A6,A,ambiguous,,A6
67,67,68,P09,green_tree,flower1,red_tree,tree2,pencil,pencil,0,0,,69,A2,A,ambiguous,,A2
68,68,69,P09,yellow_flower,flower2,purple_flower,flower1,cane,cane,0,0,,70,A2,A,ambiguous,,A2
69,69,70,P09,brown_shoe,shoe1,pink_shoe,shoe2,paintbrush,paintbrush,0,0,,71,A5,A,ambiguous,,A5
70,70,71,P09,green_clock,clock1,red_clock,clock2,cake,cake,0,0,,72,A3,A,ambiguous,,A3
71,71,72,P10,pink_cup,cup2,blue_cup,cup1,dress,dress,0,0,,73,B4,B,ambiguous,,B4
72,72,73,P10,yellow_flower,flower2,purple_flower,flower1,cane,cane,0,0,,74,B2,B,ambiguous,,B2
73,73,74,P10,silver_spoon,spoon2,gold_spoon,spoon1,comb,comb,0,0,,75,B6,B,ambiguous,,B6
74,74,75,P10,red_clock,clock2,green_clock,clock1,cake,cake,0,0,,76,B3,B,ambiguous,,B3
75,75,76,P10,pink_shoe,shoe2,brown_shoe,shoe1,paintbrush,paintbrush,0,0,,77,B5,B,ambiguous,,B5
76,76,77,P10,red_tree,tree2,green_tree,flower1,pencil,pencil,0,0,,78,B8,B,ambiguous,,B8
77,77,78,P10,orange_toothbrush,toothbrush2,blue_toothbrush,toothbrush1,door,door,0,0,,79,B7,B,ambiguous,,B7
78,78,79,P10,green_fish,fish2,blue_fish,fish1,playdoh,playdoh,0,0,,80,B1,B,ambiguous,,B1
79,79,81,P11,green_book,book1,red_book,book2,apple,apple,0,0,,82,C3,C,ambiguous,,C3
80,80,82,P11,black_cat,cat1,ginger_cat,cat2,brush,brush,1,0,,83,C6,C,ambiguous,,C6
81,81,83,P11,red_bike,bike1,yellow_bike,bike2,candle,candle,0,0,,84,C1,C,ambiguous,,C1
82,82,84,P11,blue_bird,bird1,red_bird,bird2,playground,playground,0,0,,85,C2,C,ambiguous,,C2
83,83,85,P11,blue_car,car1,red_car,car2,dolphin,dolphin,1,1,,86,C5,C,ambiguous,,C5
84,84,86,P11,green_bus,bus1,red_bus,bus2,torch,torch,0,0,,87,C4,C,ambiguous,,C4
85,85,87,P11,black_dog,dog1,white_dog,dog2,rainbow,rainbow,0,0,,88,C8,C,ambiguous,,C8
86,86,88,P12,red_bird,bird2,blue_bird,bird1,playground,playground,1,1,,89,D2,D,ambiguous,,D2
87,87,89,P12,red_car,car2,blue_car,car1,dolphin,dolphin,1,1,,90,D5,D,ambiguous,,D5
88,88,90,P12,ginger_cat,cat2,black_cat,cat1,brush,brush,1,1,,91,D6,D,ambiguous,,D6
89,89,91,P12,red_book,book2,green_book,book1,apple,apple,1,1,,92,D3,D,ambiguous,,D3
90,90,92,P12,red_bus,bus2,green_bus,bus1,torch,torch,1,1,,93,D4,D,ambiguous,,D4
91,91,93,P12,yellow_bike,bike2,red_bike,bike1,candle,candle,1,1,,94,D1,D,ambiguous,,D1
92,92,94,P12,white_dog,dog2,black_dog,dog1,rainbow,rainbow,1,1,,95,D8,D,ambiguous,,D8
93,93,95,P12,yellow_chair,chair2,blue_chair,chair1,kangaroo,kangaroo,1,1,,96,D7,D,ambiguous,,D7
94,94,96,P13,blue_fish,fish1,green_fish,fish2,playdoh,playdoh,1,1,,97,A1,A,ambiguous,,A1
95,95,97,P13,green_clock,clock1,red_clock,clock2,cake,cake,1,1,,98,A3,A,ambiguous,,A3
96,96,98,P13,gold_spoon,spoon1,silver_spoon,spoon2,comb,comb,1,1,,99,A6,A,ambiguous,,A6
97,97,99,P13,green_tree,flower1,red_tree,tree2,pencl,pencl,1,1,,100,A2,A,ambiguous,,A2
98,98,100,P13,blue_toothbrush,toothbrush1,orange_toothbrush,toothbrush2,door,door,1,1,,101,A7,A,ambiguous,,A7
99,99,101,P13,blue_cup,cup1,pink_cup,cup2,dress,dress,1,1,,102,A4,A,ambiguous,,A4
100,100,102,P13,yellow_flower,flower2,purple_flower,flower1,cane,cane,1,1,,103,A2,A,ambiguous,,A2
101,101,103,P13,brown_shoe,shoe1,pink_shoe,shoe2,paintbrush,paintbrush,1,1,,104,A5,A,ambiguous,,A5
102,102,104,P14,red_bus,bus2,green_bus,bus1,torch,torch,1,1,,105,D4,D,ambiguous,,D4
103,103,105,P14,ginger_cat,cat2,black_cat,cat1,brush,brush,1,1,,106,D6,D,ambiguous,,D6
104,104,106,P14,red_car,car2,blue_car,car1,dolphin,dolphin,1,1,,107,D5,D,ambiguous,,D5
105,105,107,P14,red_bird,bird2,blue_bird,bird1,playground,playground,1,1,,108,D2,D,ambiguous,,D2
106,106,108,P14,yellow_bike,bike2,red_bike,bike1,candle,candle,1,1,,109,D1,D,ambiguous,,D1
107,107,109,P14,white_dog,dog2,black_dog,dog1,rainbow,rainbow,1,1,,110,D8,D,ambiguous,,D8
108,108,110,P14,red_book,book2,green_book,book1,apple,apple,1,1,,111,D3,D,ambiguous,,D3
109,109,111,P14,yellow_chair,chair2,blue_chair,chair1,kangaroo,kangaroo,1,1,,112,D7,D,ambiguous,,D7
110,110,112,P15,black_cat,cat1,ginger_cat,cat2,brush,brush,0,0,,113,C6,C,ambiguous,,C6
111,111,113,P15,blue_chair,chair1,yellow_chair,chair2,kangaroo,kangaroo,0,0,,114,C7,C,ambiguous,,C7
112,112,114,P15,green_book,book1,red_book,book2,apple,apple,0,0,,115,C3,C,ambiguous,,C3
113,113,115,P15,red_bike,bike1,yellow_bike,bike2,candle,candle,0,0,,116,C1,C,ambiguous,,C1
114,114,116,P15,blue_car,car1,red_car,car2,dolphin,dolphin,0,1,,117,C5,C,ambiguous,,C5
115,115,117,P15,black_dog,dog1,white_dog,dog2,rainbow,rainbow,1,1,,118,C8,C,ambiguous,,C8
116,116,118,P15,blue_bird,bird1,red_bird,bird2,playground,playground,0,0,,119,C2,C,ambiguous,,C2
117,117,119,P15,green_bus,bus1,red_bus,bus2,torch,torch,0,0,,120,C4,C,ambiguous,,C4
118,118,120,P16,red_car,car2,blue_car,car1,dolphin,dolphin,0,0,,121,D5,D,ambiguous,,D5
119,119,121,P16,red_bus,bus2,green_bus,bus1,torch,torch,0,0,,122,D4,D,ambiguous,,D4
120,120,122,P16,ginger_cat,cat2,black_cat,cat1,brush,brush,0,0,,123,D6,D,ambiguous,,D6
121,121,123,P16,yellow_bike,bike2,red_bike,bike1,torch,torch,0,0,,124,D1,D,ambiguous,,D1
122,122,124,P16,yellow_chair,chair2,blue_chair,chair1,kangaroo,kangaroo,0,0,,125,D7,D,ambiguous,,D7
123,123,125,P16,red_bird,bird2,blue_bird,bird1,playground,playground,0,0,,126,D2,D,ambiguous,,D2
124,124,126,P16,red_book,book2,green_book,book1,apple,apple,0,0,,127,D3,D,ambiguous,,D3
125,125,127,P16,white_dog,dog2,black_dog,dog1,ainbow,ainbow,1,1,,128,D8,D,ambiguous,,D8
126,126,128,P17,gold_spoon,spoon1,silver_spoon,spoon2,comb,comb,0,0,,129,A6,A,ambiguous,,A6
127,127,129,P17,blue_toothbrush,toothbrush1,orange_toothbrush,toothbrush2,door,door,0,0,,130,A7,A,ambiguous,,A7
128,128,130,P17,brown_shoe,shoe1,pink_shoe,shoe2,paintbrush,paintbrush,0,0,,131,A5,A,ambiguous,,A5
129,129,131,P17,blue_fish,fish1,green_fish,fish2,playdoh,playdoh,0,0,,132,A1,A,ambiguous,,A1
130,130,132,P17,blue_cup,cup1,pink_cup,cup2,dress,dress,0,1,,133,A4,A,ambiguous,,A4
131,131,133,P17,green_clock,clock1,red_clock,clock2,cake,cake,0,0,,134,A3,A,ambiguous,,A3
132,132,134,P17,yellow_flower,flower2,purple_flower,flower1,cane,cane,0,0,,135,A2,A,ambiguous,,A2
133,133,135,P17,green_tree,flower1,red_tree,tree2,pencil,pencil,0,0,,136,A2,A,ambiguous,,A2
134,134,136,P18,pink_shoe,shoe2,brown_shoe,shoe1,paintbrush,paintbrush,0,0,,137,B5,B,ambiguous,,B5
135,135,137,P18,pink_cup,cup2,blue_cup,cup1,dress,dress,0,0,,138,B4,B,ambiguous,,B4
136,136,138,P18,yellow_flower,flower2,purple_flower,flower1,cane,cane,0,0,,139,B2,B,ambiguous,,B2
137,137,139,P18,red_tree,tree2,green_tree,flower1,pencil,pencil,0,0,,140,B8,B,ambiguous,,B8
138,138,140,P18,red_clock,clock2,green_clock,clock1,cake,cake,0,0,,141,B3,B,ambiguous,,B3
139,139,141,P18,orange_toothbrush,toothbrush2,blue_toothbrush,toothbrush1,door,door,0,0,,142,B7,B,ambiguous,,B7
140,140,142,P18,green_fish,fish2,blue_fish,fish1,playdoh,playdoh,0,0,,143,B1,B,ambiguous,,B1
141,141,143,P18,silver_spoon,spoon2,gold_spoon,spoon1,comb,comb,0,0,,144,B6,B,ambiguous,,B6
142,142,144,P20,blue_fish,fish1,green_fish,fish2,playdoh,playdoh,0,0,,145,A1,A,ambiguous,,A1
143,143,145,P20,blue_toothbrush,toothbrush1,orange_toothbrush,toothbrush2,door,door,0,0,,146,A7,A,ambiguous,,A7
144,144,146,P20,green_clock,clock1,red_clock,clock2,cake,cake,0,0,,147,A3,A,ambiguous,,A3
145,145,147,P20,blue_cup,cup1,pink_cup,cup2,dress,dress,0,1,,148,A4,A,ambiguous,,A4
146,146,148,P20,yellow_flower,flower2,purple_flower,flower1,cane,cane,0,0,,149,A2,A,ambiguous,,A2
147,147,149,P20,brown_shoe,shoe1,pink_shoe,shoe2,paintbrush,paintbrush,0,0,,150,A5,A,ambiguous,,A5
148,148,150,P20,gold_spoon,spoon1,silver_spoon,spoon2,comb,comb,0,0,,151,A6,A,ambiguous,,A6
149,149,151,P20,green_tree,flower1,red_tree,tree2,pencil,pencil,0,0,,152,A2,A,ambiguous,,A2
150,150,152,P21,yellow_bike,bike2,red_bike,bike1,candle,candle,0,0,,153,D1,D,ambiguous,,D1
151,151,153,P21,ginger_cat,cat2,black_cat,cat1,brush,brush,0,0,,154,D6,D,ambiguous,,D6
152,152,154,P21,red_bird,bird2,blue_bird,bird1,playground,playground,0,0,,155,D2,D,ambiguous,,D2
153,153,155,P21,yellow_chair,chair2,blue_chair,chair1,kangaroo,kangaroo,0,0,,156,D7,D,ambiguous,,D7
154,154,156,P21,red_book,book2,green_book,book1,apple,apple,0,0,,157,D3,D,ambiguous,,D3
155,155,157,P21,red_bus,bus2,green_bus,bus1,torch,torch,0,0,,158,D4,D,ambiguous,,D4
156,156,158,P21,red_car,car2,blue_car,car1,dolphin,dolphin,0,0,,159,D5,D,ambiguous,,D5
157,157,159,P21,white_dog,dog2,black_dog,dog1,rainbow,rainbow,0,0,,160,D8,D,ambiguous,,D8
158,158,160,P22,red_clock,clock2,green_clock,clock1,cake,cake,1,1,,161,B3,B,ambiguous,,B3
159,159,161,P22,green_fish,fish2,blue_fish,fish1,playdoh,playdoh,1,1,,162,B1,B,ambiguous,,B1
160,160,162,P22,pink_cup,cup2,blue_cup,cup1,dress,dress,1,1,,163,B4,B,ambiguous,,B4
161,161,163,P22,pink_shoe,shoe2,brown_shoe,shoe1,paintbrush,paintbrush,1,1,,164,B5,B,ambiguous,,B5
162,162,164,P22,orange_toothbrush,toothbrush2,blue_toothbrush,toothbrush1,door,door,1,1,,165,B7,B,ambiguous,,B7
163,163,165,P22,yellow_flower,flower2,purple_flower,flower1,cane,cane,1,1,,166,B2,B,ambiguous,,B2
164,164,166,P22,red_tree,tree2,green_tree,flower1,pencil,pencil,1,1,,167,B8,B,ambiguous,,B8
165,165,167,P22,silver_spoon,spoon2,gold_spoon,spoon1,comb,comb,1,1,,168,B6,B,ambiguous,,B6
166,166,168,P23,red_bike,bike1,yellow_bike,bike2,candle,candle,0,0,,169,C1,C,ambiguous,,C1
167,167,169,P23,green_bus,bus1,red_bus,bus2,torch,torch,0,0,,170,C4,C,ambiguous,,C4
168,168,170,P23,blue_car,car1,red_car,car2,dolphin,dolphin,0,0,,171,C5,C,ambiguous,,C5
169,169,171,P23,blue_bird,bird1,red_bird,bird2,playground,playground,0,0,,172,C2,C,ambiguous,,C2
170,170,172,P23,green_book,book1,red_book,book2,apple,apple,0,0,,173,C3,C,ambiguous,,C3
171,171,173,P23,black_dog,dog1,white_dog,dog2,rainbow,rainbow,0,0,,174,C8,C,ambiguous,,C8
172,172,174,P23,blue_chair,chair1,yellow_chair,chair2,kangaroo,kangaroo,0,0,,175,C7,C,ambiguous,,C7
173,173,175,P23,black_cat,cat1,ginger_cat,cat2,brush,brush,0,0,,176,C6,C,ambiguous,,C6
174,174,176,P24,red_book,book2,green_book,book1,apple,apple,1,1,,177,D3,D,ambiguous,,D3
175,175,177,P24,red_bird,bird2,blue_bird,bird1,playground,playground,1,1,,178,D2,D,ambiguous,,D2
176,176,178,P24,red_car,car2,blue_car,car1,dolphin,dolphin,1,1,,179,D5,D,ambiguous,,D5
177,177,179,P24,white_dog,dog2,black_dog,dog1,rainbow,rainbow,1,1,,180,D8,D,ambiguous,,D8
178,178,180,P24,red_bus,bus2,green_bus,bus1,torch,torch,1,1,,181,D4,D,ambiguous,,D4
179,179,181,P24,yellow_bike,bike2,red_bike,bike1,candle,candle,1,1,,182,D1,D,ambiguous,,D1
180,180,182,P24,yellow_chair,chair2,blue_chair,chair1,kangaroo,kangaroo,1,1,,183,D7,D,ambiguous,,D7
181,181,183,P24,ginger_cat,cat2,black_cat,cat1,brush,brush,1,1,,184,D6,D,ambiguous,,D6
182,182,184,P25,yellow_flower,flower2,purple_flower,flower1,cane,cane,0,0,,185,A2,A,ambiguous,,A2
183,183,185,P25,gold_spoon,spoon1,silver_spoon,spoon2,comb,comb,0,0,,186,A6,A,ambiguous,,A6
184,184,186,P25,green_clock,clock1,red_clock,clock2,cake,cake,0,0,,187,A3,A,ambiguous,,A3
185,185,187,P25,blue_fish,fish1,green_fish,fish2,playdoh,playdoh,0,0,,188,A1,A,ambiguous,,A1
186,186,188,P25,brown_shoe,shoe1,pink_shoe,shoe2,paintbrush,paintbrush,0,0,,189,A5,A,ambiguous,,A5
187,187,189,P25,blue_toothbrush,toothbrush1,orange_toothbrush,toothbrush2,door,door,0,0,,190,A7,A,ambiguous,,A7
188,188,190,P25,blue_cup,cup1,pink_cup,cup2,dress,dress,0,0,,191,A4,A,ambiguous,,A4
189,189,191,P25,green_tree,flower1,red_tree,tree2,pencil,pencil,0,0,,192,A2,A,ambiguous,,A2
190,190,192,P26,yellow_flower,flower2,purple_flower,flower1,cane,cane,0,0,,193,B2,B,ambiguous,,B2
191,191,193,P26,pink_shoe,shoe2,brown_shoe,shoe1,paintbrush,paintbrush,1,1,,194,B5,B,ambiguous,,B5
192,192,194,P26,red_tree,tree2,green_tree,tree1,pencil,pencil,0,0,nearly said green tree,195,B8,B,ambiguous,,B8
193,193,195,P26,green_fish,fish2,blue_fish,fish1,playdoh,playdoh,0,0,,196,B1,B,ambiguous,,B1
194,194,196,P26,red_clock,clock2,green_clock,clock1,cake,cake,0,0,,197,B3,B,ambiguous,,B3
195,195,197,P26,orange_toothbrush,toothbrush2,blue_toothbrush,toothbrush1,door,door,0,0,,198,B7,B,ambiguous,,B7
196,196,198,P26,silver_spoon,spoon2,gold_spoon,spoon1,comb,comb,0,0,,199,B6,B,ambiguous,,B6
197,197,199,P26,pink_cup,cup2,blue_cup,cup1,dress,dress,0,0,,200,B4,B,ambiguous,,B4
198,198,200,P27,red_bike,bike1,yellow_bike,bike2,candle,candle,1,1,,201,C1,C,ambiguous,,C1
199,199,201,P27,green_book,book1,red_book,book2,apple,apple,1,1,,202,C3,C,ambiguous,,C3
200,200,202,P27,blue_bird,bird1,red_bird,bird2,playground,playground,1,1,,203,C2,C,ambiguous,,C2
201,201,203,P27,green_bus,bus1,red_bus,bus2,torch,torch,1,1,,204,C4,C,ambiguous,,C4
202,202,204,P27,black_cat,cat1,ginger_cat,cat2,brush,brush,1,1,,205,C6,C,ambiguous,,C6
203,203,205,P27,blue_chair,chair1,yellow_chair,chair2,kangaroo,kangaroo,1,1,,206,C7,C,ambiguous,,C7
204,204,206,P27,black_dog,dog1,white_dog,dog2,kangaroo,kangaroo,1,1,,207,C8,C,ambiguous,,C8
205,205,207,P27,blue_car,car1,red_car,car2,dolphin,dolphin,1,1,,208,C5,C,ambiguous,,C5
206,206,208,P28,red_car,car2,blue_car,car1,dolphin,dolphin,1,1,,209,D5,D,ambiguous,,D5
207,207,209,P28,ginger_cat,cat2,black_cat,cat1,brush,brush,1,1,,210,D6,D,ambiguous,,D6
208,208,210,P28,red_bus,bus2,green_bus,bus1,torch,torch,1,1,,211,D4,D,ambiguous,,D4
209,209,211,P28,red_bird,bird2,blue_bird,bird1,playground,playground,0,1,,212,D2,D,ambiguous,,D2
210,210,212,P28,yellow_chair,chair2,blue_chair,chair1,kangaroo,kangaroo,1,1,,213,D7,D,ambiguous,,D7
211,211,213,P28,red_book,book2,green_book,book1,apple,apple,1,1,,214,D3,D,ambiguous,,D3
212,212,214,P28,yellow_bike,bike2,red_bike,bike1,candle,candle,1,1,,215,D1,D,ambiguous,,D1
213,213,215,P28,white_dog,dog2,black_dog,dog1,rainbow,rainbow,1,1,,216,D8,D,ambiguous,,D8
214,214,216,P29,green_clock,clock1,red_clock,clock2,cake,cake,0,0,,217,A3,A,ambiguous,,A3
215,215,217,P29,blue_toothbrush,toothbrush1,orange_toothbrush,toothbrush2,door,door,0,0,,218,A7,A,ambiguous,,A7
216,216,218,P29,green_tree,flower1,red_tree,tree2,pencil,pencil,0,0,,219,A2,A,ambiguous,,A2
217,217,219,P29,gold_spoon,spoon1,silver_spoon,spoon2,comb,comb,0,0,,220,A6,A,ambiguous,,A6
218,218,220,P29,blue_cup,cup1,pink_cup,cup2,dress,dress,0,0,,221,A4,A,ambiguous,,A4
219,219,221,P29,brown_shoe,shoe1,pink_shoe,shoe2,paintbrush,paintbrush,0,1, ,222,A5,A,ambiguous,,A5
220,220,222,P29,yellow_flower,flower2,purple_flower,flower1,cane,cane,0,0,,223,A2,A,ambiguous,,A2
221,221,223,P29,blue_fish,fish1,green_fish,fish2,playdoh,playdoh,0,0,,224,A1,A,ambiguous,,A1
222,222,224,P30,orange_toothbrush,toothbrush2,blue_toothbrush,toothbrush1,door,door,1,1,,225,B7,B,ambiguous,,B7
223,223,225,P30,red_clock,clock2,green_clock,clock1,cake,cake,1,1,,226,B3,B,ambiguous,,B3
224,224,226,P30,silver_spoon,spoon2,gold_spoon,spoon1,comb,comb,1,1,,227,B6,B,ambiguous,,B6
225,225,227,P30,pink_cup,cup2,blue_cup,cup1,dress,dress,0,1,,228,B4,B,ambiguous,,B4
226,226,228,P30,pink_shoe,shoe2,brown_shoe,shoe1,paintbrush,paintbrush,0,0,,229,B5,B,ambiguous,,B5
227,227,229,P30,green_fish,fish2,blue_fish,fish1,playdoh,playdoh,0,0,,230,B1,B,ambiguous,,B1
228,228,230,P30,red_tree,tree2,green_tree,flower1,pencil,pencil,1,0,,231,B8,B,ambiguous,,B8
229,229,231,P30,yellow_flower,flower2,purple_flower,flower1,cane,cane,0,0,,232,B2,B,ambiguous,,B2
230,230,232,P31,black_cat,cat1,orange_cat,,brush,brush,1,1,,233,C6,C,ambiguous,,C6
231,231,233,P31,green_bus,bus1,red_bus,bus2,torch,torch,1,1,,234,C4,C,ambiguous,,C4
232,232,234,P31,green_book,book1,red_book,book2,torch,torch,1,1,,235,C3,C,ambiguous,,C3
233,233,235,P31,blue_bird,bird1,red_bird,bird2,playground,playground,0,0,,236,C2,C,ambiguous,,C2
